Player ID,Name,Data-version,Rating,Position,Current Price,Average Price Change,LGB Prediction,Transformer Prediction,Action
248449,Zinedine Zidane,icon gold,CM,91,2617974.6835443038,9602.564102564103,-195.38113358708702,150.57996,Sell
238444,Laurent Blanc,icon gold,CB,89,965885.7142857143,8492.753623188406,-207.49029635994316,165.5667,Sell
237068,Edson Arantes Nascimento,icon gold,CF,95,6177114.75409836,7550.0,260.8238066706412,170.14433,Sell
1419,Patrick Vieira,icon gold,CM,88,4215680.327868853,6541.666666666667,3328.1664284851604,169.69981,Sell
248450,Zinedine Zidane,icon gold,CAM,94,3312579.7101449277,6397.058823529412,-420.4208986058352,160.5475,Sell
239061,Edwin van der Sar,icon gold,GK,89,703570.0,5510.2040816326535,143.59696958238038,165.44608,Sell
237064,Ronaldo Luís Nazário de Lima,icon gold,ST,94,9779717.105263159,4666.666666666667,-1028.18557955144,78.61781,Sell
238706,Ronaldo de Assis Moreira,icon gold,CAM,89,1313555.5555555555,4218.30985915493,320.8410019350782,75.478745,Sell
238436,Lothar Matthäus,icon gold,CB,88,1104717.391304348,3845.5882352941176,-326.63457086806204,165.15169,Sell
238434,Ruud Gullit,icon gold,CM,90,7488393.617021277,3521.7391304347825,-657.1239421407093,159.23378,Sell
191189,Lothar Matthäus,icon gold,CDM,91,2445197.9166666665,3170.2127659574467,-486.68398983999043,161.9196,Sell
239421,Frank Rijkaard,icon gold,CB,88,410383.5616438356,2597.222222222222,-427.1381160417686,77.24312,Sell
190049,Eusébio da Silva Ferreira,icon gold,CF,89,4663309.859154929,2521.4285714285716,847.1646994931393,164.3554,Sell
255477,Éric Cantona,icon gold,CF,90,1763116.8831168832,2506.5789473684213,-239.91565838603094,158.73952,Sell
242520,Eusébio da Silva Ferreira,icon gold,CF,91,3110936.7088607596,2461.5384615384614,-78.7787455494554,158.87044,Sell
239604,Emilio Butragueño Santos,icon gold,ST,90,1275941.5584415584,2460.5263157894738,823.9962890691772,158.15857,Sell
238440,Paolo Maldini,icon gold,CB,92,3317533.8983050846,1724.1379310344828,-17.254034393799632,162.48586,Sell
239525,Marcel Desailly,icon gold,CB,87,820187.5,1468.2539682539682,-63.65674049036703,162.46132,Sell
239068,Fernando Hierro Ruiz,icon gold,CB,89,226362.06896551725,1447.3684210526317,-71.0869678601991,163.41087,Sell
190043,Edson Arantes Nascimento,icon gold,CF,91,3436335.714285714,1333.3333333333333,-3783.3946658898503,168.80669,Sell
260817,Marcos de Moraes Cafú,icon gold,RB,90,1327109.375,1322.5806451612902,-391.62585927497724,161.73662,Sell
237065,Rio Ferdinand,icon gold,CB,85,827227.2727272727,1315.3846153846155,57.205955019764716,168.34389,Sell
243031,Gennaro Gattuso,icon gold,CM,85,336039.68253968254,1298.3870967741937,-633.635195577945,165.38765,Sell
239535,Pavel Nedvěd,icon gold,LM,86,392857.14285714284,1274.1935483870968,-290.567873551177,159.19563,Sell
242517,Sócrates Vieira de Oliveira,icon gold,CAM,87,391250.0,1254.7169811320755,-377.3748328567204,164.75261,Sell
256338,Bastian Schweinsteiger,icon gold,LM,87,290572.5806451613,1204.9180327868853,260.26143039322983,163.69316,Sell
247307,Michael Essien,icon gold,CDM,87,672043.4782608695,1176.4705882352941,104.61164342603831,71.245026,Sell
50522519,Neymar da Silva Santos Jr.,if gold,LW,92,1207658.0,1173.6842105263158,-689.9111160389336,77.50427,Sell
256339,Bastian Schweinsteiger,icon gold,CM,89,405450.0,1126.5822784810127,245.6808018549952,162.44283,Sell
27,Joe Cole,heroes gold,RW,87,158596.15384615384,1093.75,-5081.279783533074,173.65036,Sell
239080,Luís Filipe Madeira Caeiro Figo,icon gold,RW,90,657366.6666666666,1093.2203389830509,-84.06603053455083,159.5619,Sell
84086184,Heung Min Son,conference gold,LM,90,583333.3333333334,1014.0845070422536,58.57058598296312,149.14072,Sell
942,Christian Vieri,icon gold,ST,88,130646.34146341463,975.0,3900.3151946480175,170.10658,Sell
242927,Clarence Seedorf,icon gold,CM,88,1119007.8125,968.2539682539683,170.70638609645243,160.56987,Sell
243782,Josep Guardiola Sala,icon gold,CDM,85,246385.24590163934,941.6666666666666,173.62365891081387,164.4004,Sell
247700,Kenny Dalglish,icon gold,ST,87,916639.2405063291,910.2564102564103,-227.9951088126532,161.21,Sell
238395,Ronaldo de Assis Moreira,icon gold,CAM,91,3455598.484848485,907.6923076923077,-22.96615277624621,165.45735,Sell
50543836,Timo Werner,ucl_live gold,ST,88,1030625.4831460674,880.6818181818181,64.004599217492,160.87477,Sell
258778,David Beckham,icon gold,RM,89,424484.375,857.1428571428571,-111.34634070075037,162.7788,Sell
238420,Luis Hernández,icon gold,ST,87,422259.25925925927,849.0566037735849,289.14998554988813,151.81474,Sell
255910,Xavier Hernández,icon gold,CM,90,509888.8888888889,811.3207547169811,249.84628943405542,163.93964,Sell
237062,Thierry Henry,icon gold,LW,87,587950.0,797.1014492753624,65.72639717045844,161.2239,Sell
247514,John Barnes,icon gold,LW,87,218318.18181818182,740.7407407407408,-1119.969778043319,158.53096,Sell
50560350,Frenkie de Jong,ucl_live gold,CM,89,758476.1868131869,738.8888888888889,-72.15544992275363,155.87666,Sell
237073,Diego Maradona,icon gold,CAM,91,1913563.2911392406,724.3589743589744,389.50763683909844,157.58052,Sell
239069,Robert Pirès,icon gold,LM,88,241889.83050847458,706.8965517241379,420.58589254533007,158.62743,Sell
50537100,Antonio Rüdiger,halloween gold,CB,86,378288.60975609755,697.5308641975308,-321.04169996044806,162.87141,Sell
